trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
20230530,000667.SZ,ST美置,全国地产,云南,3.38,24.39,24.67,170.41,117.77,19.51,0.58,0.02,0.04,0.70,0.83,19961205,-14.28,-0.58,5.09,177.96,18.96,4.18,145500
20230530,000668.SZ,荣丰控股,医药商业,山东,0.00,1.47,1.47,23.15,13.52,0.02,1.57,1.07,-0.05,8.25,1.46,19961210,7.95,5.41,-93.17,-16.66,29.05,-84.02,8039
20230530,000669.SZ,ST金鸿,供气供热,吉林,0.00,6.80,6.80,28.83,5.41,17.53,16.18,2.38,-0.01,0.67,2.56,19961210,-19.55,-2.87,-17.40,-61.37,5.07,-6.38,20054
20230530,000670.SZ,盈方微,元器件,湖北,0.00,6.10,8.17,16.77,11.99,0.04,3.82,0.47,-0.01,0.09,73.77,19961217,-6.07,-0.74,-20.88,-372.41,4.74,-0.79,114129
20230530,000671.SZ,ST阳光城,区域地产,福建,0.00,40.58,41.40,2988.21,2542.18,43.49,42.40,1.02,-0.11,1.13,0.49,19961218,-52.07,-1.26,5.82,68.54,9.77,-28.49,137498
20230530,000672.SZ,上峰水泥,水泥,甘肃,13.59,9.69,9.69,175.86,72.71,42.56,-9.30,-0.96,0.18,8.86,1.09,19961218,83.12,8.57,-7.02,-49.40,26.35,11.35,54229
20230530,000676.SZ,智度股份,互联网,广东,47.50,12.62,12.77,43.51,28.23,0.04,36.60,2.87,0.04,2.76,2.62,19961224,-14.39,-1.13,-20.76,55.50,23.06,10.00,82587
20230530,000677.SZ,恒天海龙,化纤,山东,64.63,8.64,8.64,11.22,6.74,3.58,6.98,0.81,0.01,0.49,5.58,19961226,-13.50,-1.56,0.43,-41.03,23.30,8.61,47008
20230530,000678.SZ,襄阳轴承,汽车配件,湖北,0.00,4.60,4.60,24.20,10.48,9.69,7.33,1.60,-0.05,1.85,2.99,19970106,-3.93,-0.85,9.09,22.14,5.71,-7.00,43067
20230530,000679.SZ,大连友谊,百货,辽宁,0.00,3.56,3.56,9.82,2.63,1.93,0.69,0.19,-0.03,1.01,4.90,19970124,-2.63,-0.74,-2.38,8.66,23.28,-26.48,22125
20230530,000680.SZ,山推股份,工程机械,山东,10.82,10.64,15.01,122.24,90.51,14.35,15.41,1.03,0.11,3.37,1.44,19970122,16.88,1.12,1.42,-53.61,18.95,7.17,96073
